The robot has lost the wire!
Bus voltage is 23.160425186157227V
Enter "y" to restart driving loop, or "n" to quit: y
|     13 |            |            |      8 |
|     12 |            |            |      9 |
|     13 |            |            |     10 |
|     14 |            |            |     11 |
|     13 |            |            |      8 |
|     13 |            |            |     10 |
|     12 |            |            |      7 |
|     14 |            |            |      8 |
|     14 |            |            |      8 |
|     11 |            |            |      7 |
|     13 |            |            |      9 |
|     14 |            |            |      7 |
|     13 |            |            |      7 |
|     12 |            |            |      7 |
|     13 |            |            |      7 |
|     14 |            |            |      8 |
|     14 |            |            |      8 |
|     15 |            |            |      9 |
|     13 |            |            |     10 |
|     13 |            |            |      8 |
|     11 |            |            |      6 |
|     11 |            |            |      5 |
|     13 |            |            |      9 |
|     12 |            |            |    791 |
|     12 |            |          █ |   2149 |
|     13 |            |          █ |   3380 |
|     14 |            |          █ |   3574 |
|     13 |            |          █ |   2510 |
|     16 |            |            |    903 |
|     17 |            |            |     11 |
|     15 |            |            |      9 |
|     12 |            |            |     10 |
|     15 |            |            |     11 |
|     15 |            |            |     12 |
|     17 |            |            |     10 |
|     17 |            |            |     10 |
|     16 |            |            |     12 |
|     16 |            |            |     11 |
|     16 |            |            |     15 |
|     17 |            |            |     14 |
|     18 |            |            |     11 |
|     16 |            |            |     11 |
|     16 |            |            |     12 |
|     15 |            |            |     14 |
|     16 |            |            |     12 |
|     16 |            |            |     13 |
|     17 |            |            |     10 |
|     16 |            |            |     10 |
|     18 |            |            |     13 |
|     19 |            |            |     13 |
|     16 |            |            |     11 |
|     17 |            |            |     14 |
|     16 |            |            |     12 |
|     17 |            |            |     11 |
|     17 |            |            |     12 |
|     17 |            |            |     11 |
|     18 |            |            |     13 |
|     20 |            |            |     11 |
|     17 |            |            |     11 |
|     16 |            |            |     11 |
|     17 |            |            |     13 |
|     17 |            |            |     11 |
|     18 |            |            |     13 |
|     18 |            |            |     12 |
|     20 |            |            |     12 |
|     18 |            |            |     12 |
|     20 |            |            |     13 |
|     18 |            |            |     12 |
|     17 |            |            |     10 |
|     16 |            |            |     12 |
|     16 |            |            |     12 |
|     15 |            |            |     12 |
|     16 |            |            |     10 |
|     16 |            |            |     11 |
|     18 |            |            |     12 |
|     16 |            |            |     11 |
|     18 |            |            |     13 |
|     16 |            |            |     13 |
|     17 |            |            |     13 |
|     18 |            |            |     14 |
|     18 |            |            |     12 |
|     18 |            |            |     11 |
|     18 |            |            |     14 |
|     17 |            |            |     12 |
|     18 |            |            |     15 |
|     18 |            |            |     14 |
|     17 |            |            |    107 |
|     17 |            |            |    248 |
|     18 |            |            |    323 |
|     16 |            |            |    383 |
|     18 |            |            |    438 |
|     16 |            |            |    440 |
|     17 |            |            |    497 |
|     16 |            |            |    593 |
|     15 |            |            |    730 |
|     19 |            |            |    868 |
|     18 |            |            |    998 |
|     18 |            |            |   1300 |
|     14 |            |            |   1516 |
|     19 |            |            |   1753 |
|     17 |            |            |   1959 |
|     17 |            |          █ |   2087 |
|     17 |            |          █ |   2107 |
|     18 |            |            |   1842 |
|     18 |            |            |   1689 |
|     18 |            |            |   1405 |
|     18 |            |            |   1132 |
|     16 |            |            |    887 |
|     17 |            |            |    609 |
|     20 |            |            |    356 |
|     18 |            |            |     84 |
|     18 |            |            |      1 |
|     18 |            |            |     13 |
|     16 |            |            |     11 |
|     17 |            |            |     13 |
|     17 |            |            |     12 |
|     18 |            |            |     13 |
|     18 |            |            |     12 |
|     19 |            |            |     12 |
|     18 |            |            |     12 |
|     18 |            |            |     14 |
|     17 |            |            |     12 |
|     18 |            |            |     12 |
|     17 |            |            |     11 |
|     17 |            |            |     12 |
|     18 |            |            |     13 |
|     18 |            |            |     14 |
|     19 |            |            |     11 |
|     18 |            |            |     12 |
|     19 |            |            |     13 |
|     19 |            |            |     11 |
|     19 |            |            |     14 |
|     18 |            |            |     14 |
|     18 |            |            |     15 |
|     19 |            |            |     12 |
|     17 |            |            |     14 |
|     20 |            |            |     14 |
|     18 |            |            |     65 |
|     21 |            |            |    280 |
|     22 |            |            |    411 |
|     17 |            |            |    430 |
|     18 |            |            |    219 |
|     16 |            |            |    286 |
|     18 |            |            |    186 |
|     21 |            |            |     25 |
|     17 |            |            |     69 |
|     16 |            |            |    106 |
|     18 |            |            |     21 |
|     17 |            |            |     14 |
|     19 |            |            |     14 |
|     18 |            |            |     14 |
|     17 |            |            |     11 |
|     16 |            |            |     11 |
|     17 |            |            |     12 |
|     14 |            |            |      9 |
|     17 |            |            |     10 |
|     15 |            |            |     10 |
|     14 |            |            |     11 |
|     18 |            |            |     12 |
|     16 |            |            |     11 |
|     16 |            |            |     10 |
|     16 |            |            |     14 |
|     17 |            |            |     11 |
|     15 |            |            |     12 |
|     15 |            |            |     11 |
|     18 |            |            |     12 |
|     18 |            |            |     13 |
|     19 |            |            |     13 |
|     17 |            |            |     15 |
|     16 |            |            |     15 |
|     19 |            |            |     13 |
|     17 |            |            |     13 |
|     16 |            |            |      4 |
|     18 |            |            |    120 |
|     19 |            |            |    229 |
|     17 |            |            |    335 |
|     19 |            |            |    654 |
|     20 |            |            |    959 |
|     18 |            |            |   1272 |
|     15 |            |            |   1652 |
|     19 |            |            |   1999 |
|     18 |            |          █ |   2306 |
|     17 |            |          █ |   2696 |
|     19 |            |          █ |   3104 |
|     20 |            |          █ |   3562 |
|     19 |            |         ██ |   4122 |
|     17 |            |         ██ |   5059 |
|     18 |            |        ███ |   6201 |
|     19 |            |        ███ |   7319 |
|     17 |            |       ████ |   8614 |
|     16 |            |       ████ |   9623 |
|     18 |            |      █████ |  10212 |
|     20 |            |      █████ |  10529 |
|     19 |            |      █████ |  10735 |
|     21 |            |      █████ |  11028 |
|     16 |            |      █████ |  11467 |
|     18 |            |      █████ |  11867 |
|     18 |            |     ██████ |  12178 |
|     17 |            |     ██████ |  12336 |
|     20 |            |     ██████ |  12188 |
|     20 |            |      █████ |  11923 |
|     17 |            |      █████ |  11439 |
|     18 |            |      █████ |  10612 |
|     18 |            |       ████ |   9554 |
|     18 |            |        ███ |   7780 |
|     19 |            |        ███ |   6321 |
|     17 |            |         ██ |   4815 |
|     15 |            |         ██ |   4020 |
|     16 |            |          █ |   3502 |
|     13 |            |          █ |   2989 |
|     16 |            |          █ |   2653 |
|     16 |            |          █ |   2315 |
|     16 |            |          █ |   2151 |
|     15 |            |            |   1895 |
|     13 |            |            |   1835 |
|     14 |            |            |   1809 |
|     15 |            |            |   1820 |
|     17 |            |            |   1844 |
|     15 |            |          █ |   2013 |
|     14 |            |          █ |   2315 |
|     18 |            |          █ |   2213 |
|     17 |            |          █ |   2568 |
|     16 |            |          █ |   3243 |
|     18 |            |          █ |   3692 |
|     17 |            |         ██ |   4373 |
|     18 |            |         ██ |   5401 |
|     19 |            |        ███ |   7156 |
|     18 |            |       ████ |   8818 |
|     14 |            |      █████ |  10488 |
|     15 |            |      █████ |  11550 |
|     17 |            |     ██████ |  12295 |
|     16 |            |     ██████ |  12602 |
|     17 |            |     ██████ |  12441 |
|     17 |            |      █████ |  11922 |
|     17 |            |      █████ |  10971 |
|     17 |            |       ████ |   9522 |
|     19 |            |        ███ |   7889 |
|     15 |            |        ███ |   6268 |
|     17 |            |         ██ |   4721 |
|     16 |            |          █ |   3836 |
|     14 |            |          █ |   3404 |
|     16 |            |          █ |   2909 |
|     17 |            |          █ |   2627 |
|     18 |            |          █ |   2234 |
|     16 |            |            |   1957 |
|     16 |            |            |   1709 |
|     17 |            |            |   1425 |
|     16 |            |            |   1137 |
|     17 |            |            |    967 |
|     18 |            |            |    714 |
|     19 |            |            |    513 |
|     19 |            |            |    316 |
|     17 |            |            |    303 |
|     19 |            |            |    323 |
|     18 |            |            |    321 |
|     17 |            |            |    380 |
|     20 |            |            |    468 |
|     18 |            |            |    620 |
|     18 |            |            |    792 |
|     17 |            |            |   1000 |
|     20 |            |            |   1180 |
|     17 |            |            |   1377 |
|     16 |            |            |   1616 |
|     18 |            |            |   1858 |
|     21 |            |          █ |   2027 |
|     21 |            |          █ |   2309 |
|     19 |            |          █ |   2668 |
|     20 |            |          █ |   2876 |
|     18 |            |          █ |   3130 |
|     19 |            |          █ |   3268 |
|     21 |            |          █ |   3488 |
|     20 |            |          █ |   3813 |
|     17 |            |         ██ |   4200 |
|     18 |            |         ██ |   4549 |
|     18 |            |         ██ |   4752 |
|     18 |            |         ██ |   5092 |
|     16 |            |         ██ |   5345 |
|     21 |            |         ██ |   5484 |
|     20 |            |         ██ |   5491 |
|     20 |            |         ██ |   5778 |
|     19 |            |         ██ |   5860 |
|     19 |            |        ███ |   6046 |
|     20 |            |        ███ |   6034 |
|     19 |            |        ███ |   6182 |
|     20 |            |        ███ |   6178 |
|     17 |            |        ███ |   6548 |
|     18 |            |         ██ |   5477 |
|     19 |            |         ██ |   4803 |
|     18 |            |         ██ |   4335 |
|     18 |            |         ██ |   4080 |
|     20 |            |          █ |   3951 |
|     21 |            |         ██ |   4024 |
|     17 |            |         ██ |   4052 |
|     18 |            |          █ |   3975 |
|     17 |            |          █ |   3965 |
|     19 |            |          █ |   3894 |
|     19 |            |          █ |   3923 |
|     17 |            |          █ |   3973 |
|     15 |            |         ██ |   4044 |
|     18 |            |         ██ |   4069 |
|     17 |            |         ██ |   4216 |
|     16 |            |         ██ |   4409 |
|     15 |            |         ██ |   4562 |
|     17 |            |         ██ |   4630 |
|     18 |            |         ██ |   4742 |
|     17 |            |         ██ |   4926 |
|     15 |            |         ██ |   4876 |
|     16 |            |         ██ |   4991 |
|     18 |            |         ██ |   5127 |
|     17 |            |         ██ |   5334 |
|     17 |            |         ██ |   5340 |
|     15 |            |         ██ |   5398 |
|     15 |            |         ██ |   5258 |
|     17 |            |         ██ |   5455 |
|     16 |            |         ██ |   5510 |
|     17 |            |         ██ |   5309 |
|     18 |            |         ██ |   4805 |
|     18 |            |         ██ |   4290 |
|     18 |            |          █ |   3664 |
|     19 |            |          █ |   3165 |
|     17 |            |          █ |   2664 |
