id,time,name,value
259,2020-04-17 01:00:37.678273,LSM9DS1 Y-Accelerometer Average,-0.5956540880503142
260,2020-04-17 01:00:37.678273,LSM9DS1 Z-Accelerometer Average,9.57730188679245
261,2020-04-17 01:00:39.065569,LSM9DS1 X-Accelerometer,-0.046
262,2020-04-17 01:00:39.065569,LSM9DS1 Y-Accelerometer,-0.611
263,2020-04-17 01:00:39.065569,LSM9DS1 Z-Accelerometer,9.555
264,2020-04-17 01:00:39.065569,LSM9DS1 X-Magnetometer,0.375
265,2020-04-17 01:00:39.065569,LSM9DS1 Y-Magnetometer,0.538
266,2020-04-17 01:00:39.065569,LSM9DS1 Z-Magnetometer,-0.257
267,2020-04-17 01:00:39.065569,LSM9DS1 X-Gyroscope,-0.114
268,2020-04-17 01:00:39.065569,LSM9DS1 Y-Gyroscope,-0.49
269,2020-04-17 01:00:39.065569,LSM9DS1 Z-Gyroscope,1.768
270,2020-04-17 01:00:39.065569,LSM9DS1 Temperature,6.5
271,2020-04-17 01:00:39.065569,LSM9DS1 X-Accelerometer Average,-0.05266037735849055
272,2020-04-17 01:00:39.065569,LSM9DS1 Y-Accelerometer Average,-0.5901383647798736
273,2020-04-17 01:00:39.065569,LSM9DS1 Z-Accelerometer Average,9.585069182389937
274,2020-04-17 01:00:40.665195,LSM9DS1 X-Accelerometer,-0.044
275,2020-04-17 01:00:40.665195,LSM9DS1 Y-Accelerometer,-0.59
276,2020-04-17 01:00:40.665195,LSM9DS1 Z-Accelerometer,9.596
277,2020-04-17 01:00:40.665195,LSM9DS1 X-Magnetometer,0.377
278,2020-04-17 01:00:40.665195,LSM9DS1 Y-Magnetometer,0.548
279,2020-04-17 01:00:40.665195,LSM9DS1 Z-Magnetometer,-0.249
280,2020-04-17 01:00:40.665195,LSM9DS1 X-Gyroscope,-0.228
281,2020-04-17 01:00:40.665195,LSM9DS1 Y-Gyroscope,-0.718
282,2020-04-17 01:00:40.665195,LSM9DS1 Z-Gyroscope,1.925
283,2020-04-17 01:00:40.665195,LSM9DS1 Temperature,6.5
284,2020-04-17 01:00:40.665195,LSM9DS1 X-Accelerometer Average,-0.05247798742138367
285,2020-04-17 01:00:40.665195,LSM9DS1 Y-Accelerometer Average,-0.5963144654088053
286,2020-04-17 01:00:40.665195,LSM9DS1 Z-Accelerometer Average,9.578276729559747
287,2020-04-17 01:00:42.055954,LSM9DS1 X-Accelerometer,-0.072
288,2020-04-17 01:00:42.055954,LSM9DS1 Y-Accelerometer,-0.596
289,2020-04-17 01:00:42.055954,LSM9DS1 Z-Accelerometer,9.52
290,2020-04-17 01:00:42.055954,LSM9DS1 X-Magnetometer,0.378
291,2020-04-17 01:00:42.055954,LSM9DS1 Y-Magnetometer,0.548
292,2020-04-17 01:00:42.055954,LSM9DS1 Z-Magnetometer,-0.253
293,2020-04-17 01:00:42.055954,LSM9DS1 X-Gyroscope,-0.21
294,2020-04-17 01:00:42.055954,LSM9DS1 Y-Gyroscope,-0.508
295,2020-04-17 01:00:42.055954,LSM9DS1 Z-Gyroscope,1.89
296,2020-04-17 01:00:42.055954,LSM9DS1 Temperature,6.5
297,2020-04-17 01:00:42.055954,LSM9DS1 X-Accelerometer Average,-0.052389937106918215
298,2020-04-17 01:00:42.055954,LSM9DS1 Y-Accelerometer Average,-0.5936603773584908
299,2020-04-17 01:00:42.055954,LSM9DS1 Z-Accelerometer Average,9.578408805031442
300,2020-04-17 01:00:43.450443,LSM9DS1 X-Accelerometer,-0.033
301,2020-04-17 01:00:43.450443,LSM9DS1 Y-Accelerometer,-0.601
302,2020-04-17 01:00:43.450443,LSM9DS1 Z-Accelerometer,9.54
303,2020-04-17 01:00:43.450443,LSM9DS1 X-Magnetometer,0.375
304,2020-04-17 01:00:43.450443,LSM9DS1 Y-Magnetometer,0.543
305,2020-04-17 01:00:43.450443,LSM9DS1 Z-Magnetometer,-0.25
306,2020-04-17 01:00:43.450443,LSM9DS1 X-Gyroscope,-0.289
307,2020-04-17 01:00:43.450443,LSM9DS1 Y-Gyroscope,-0.543
308,2020-04-17 01:00:43.450443,LSM9DS1 Z-Gyroscope,1.759
309,2020-04-17 01:00:43.450443,LSM9DS1 Temperature,6.5
310,2020-04-17 01:00:43.450443,LSM9DS1 X-Accelerometer Average,-0.053798742138364726
311,2020-04-17 01:00:43.450443,LSM9DS1 Y-Accelerometer Average,-0.5933396226415091
312,2020-04-17 01:00:43.450443,LSM9DS1 Z-Accelerometer Average,9.569283018867923
313,2020-04-17 01:00:44.841540,LSM9DS1 X-Accelerometer,-0.044
314,2020-04-17 01:00:44.841540,LSM9DS1 Y-Accelerometer,-0.598
315,2020-04-17 01:00:44.841540,LSM9DS1 Z-Accelerometer,9.62
316,2020-04-17 01:00:44.841540,LSM9DS1 X-Magnetometer,0.383
